objective,p@25,p@50,p@100,wallet_p@25,wallet_p@50,wallet_p@100
rank_prob,0.37230769230769234,0.3184615384615385,0.2784615384615385,0.053253447559982924,0.07741264647020965,0.1085147492306883
rank_expected_proceeds,0.22461538461538463,0.19538461538461543,0.15692307692307692,0.32145087888707813,0.34467165361252494,0.4412241438906733
rank_sqrt_size,0.2676923076923077,0.22461538461538463,0.19846153846153847,0.29056083659377674,0.36831515115185376,0.44213972919333344
