feature,coef,odds_ratio
months_since_last_event,-7.15146870154756,0.000783712196314784
ever_sold,-6.716846492052561,0.0012103490473933036
months_since_listing,-0.3862529660603186,0.6795985885565643
regime_event_rate,0.19518105477666514,1.2155310442696232
deal_activity_12m,0.10579406559795697,1.1115929377072105
prior_event_value_cr,-0.0954518105565405,0.9089621629790416
lockin_expired_180d,0.09106307586486563,1.0953380924770777
deal_activity_3m,0.08941394104824536,1.0935332209400999
promoter_high,-0.07893349264254822,0.9241013819423068
tenure_6,-0.06841293502974823,0.9338747643426722
promoter_pct,0.06701811164452108,1.0693148450495713
lockin_expired_90d,-0.06030153836100124,0.94148059826119
tenure_3,-0.055443394942988805,0.9460655742505703
log_days_to_lockin,0.055145539978311994,1.0566943947639438
size_decile,0.05461466543274797,1.0561335714838966
tenure_7,0.047954736602661634,1.049123167370964
any_deal_12m,-0.04135364858628751,0.9594897477474701
is_recent_ipo,0.028913257040390498,1.0293353030118702
tenure_5,-0.027390400034144325,0.9729813154288167
regime_ipo_count,-0.02673221455100891,0.9736219284039477
promoter_low,-0.023266802982639615,0.9770017820073355
prior_event_count,-0.017824256107678432,0.982333656329374
tenure_2,-0.013614254345266669,0.9864780004806533
tenure_4,-0.011569286860969185,0.9884973799945977
institutional_sell_3m,-0.005658352448224783,0.9943576258767861
promoter_pct_missing,-0.0018188700800848647,0.998182783061664
tenure_1,-0.0005516019054078766,0.9994485501989548
promoter_declining,0.0,1.0
promoter_delta_4q,0.0,1.0
promoter_delta_1q,0.0,1.0
pledge_disclosed_12m,0.0,1.0
tenure_<NA>,0.0,1.0
