model,base_rate,p@25,p@50,p@100,lift@50,wallet_p@50,auc
MODEL T2_6m,0.10881239156868759,0.3466666666666667,0.3022222222222222,0.2511111111111111,2.7775001512179944,0.06787857833670899,0.6448872327630613
2_largest,0.11593415887395707,0.24307692307692316,0.22769230769230772,0.18307692307692308,1.9534149719163436,0.30727191062750897,0.545453154494196
6_promoter_declining,0.11593415887395707,0.1938461538461539,0.1830769230769231,0.19461538461538463,1.5769900569491502,0.08652182334503171,0.5789003275743461
3_recent_listing,0.11593415887395707,0.16,0.17692307692307693,0.1692307692307692,1.564506803930102,0.06338454967266002,0.5474278855842841
5_lockin_90d,0.11593415887395707,0.16,0.16153846153846155,0.15692307692307692,1.4170433081750384,0.08989551427856543,0.509258340766731
5b_lockin_promoter_90d,0.11593415887395707,0.17230769230769233,0.15692307692307692,0.1369230769230769,1.3899762696422722,0.07875085682351143,0.515566158468767
4_confirmatory_disclosure,0.11593415887395707,0.15076923076923074,0.14,0.1253846153846154,1.2062874962655359,0.05226561642519711,0.5066548139993963
1_random,0.11593415887395707,0.10461538461538464,0.10923076923076924,0.11769230769230773,0.9568949422831824,0.03557964120489812,0.4974890058532758
