bin,n,rate,lift_vs_never_sold
"[0, 3)",5563,0.33291389538019056,3.9876328603516416
"[3, 6)",4957,0.21262860601170064,2.5468591973751296
"[6, 9)",4031,0.1756387993053833,2.1037963791298346
"[9, 12)",3598,0.14869371873262924,1.7810489954736757
"[12, 18)",5778,0.13205261336102458,1.581722324123407
"[18, 24)",4310,0.12273781902552204,1.4701499911715232
"[24, 36)",5748,0.09272790535838553,1.110692126732651
"[36, 60)",6813,0.07647145163657713,0.9159728015454629
"[60, 10000)",6003,0.053973013493253376,0.6464871703000302
