test,n_treated,events_treated,rate_treated,ci_treated,n_control,events_control,rate_control,ci_control,lift,p_value
H8: any prior observed sell-down,46801,10354,0.22123458900450846,"[0.217, 0.225]",53829,7989,0.1484144234520426,"[0.145, 0.151]",1.4906542360149813,2.8363968740487215e-195
H8: exactly 1 prior,14746,3061,0.20758171707581716,"[0.201, 0.214]",53829,7989,0.1484144234520426,"[0.145, 0.151]",1.3986626922611292,5.103225474105279e-64
H8: 2-3 prior,15635,3482,0.2227054685001599,"[0.216, 0.229]",53829,7989,0.1484144234520426,"[0.145, 0.151]",1.5005648596689332,1.176029248661695e-101
H8: 4+ prior,16420,3811,0.23209500609013398,"[0.226, 0.239]",53829,7989,0.1484144234520426,"[0.145, 0.151]",1.563830527328304,2.939530138562265e-131
